Nama Mata Kuliah,Kode Mata Kuliah,Beban Studi,Prodi,Semester,Prasyarat,Capaian Pembelajaran Mata Kuliah,Deskripsi Mata Kuliah/Silabus
Komunikasi dan Pengembangan Diri,MNM106,2 sks,general,2.0,Tidak Ada,"1. Mampu memahami dan mengembangkan diri serta meningkatkan kapasitas belajarnya; 2. Mampu memimpin dan bekerjasama dalam tim; 3. Mampu meningkatkan mutu sumber daya yang dimiliki untuk pengembangan organisasi, jaringan kerja dan bertanggung jawab atas pekerjaan sesuai etik profesi; 4. Mampu menginternalisasi nilai, norma, etik akademik, semangat kemandirian, kejuangan, dan kewirausahaan sesuai prinsip dasar civitas akademika UNAIR HEBAT dan Excellent with Morallity.",Mata kuliah ini memberikan wawasan dan kesempatan bagi mahasiswa untuk dapat menggali potensi diri agar mampu mengembangkan serta meningkatkan kapasitas diri melalui sinergi dengan aktivitas pembinaan di Unit Kegiatan Mahasiswa dan kegiatan organisasi kemahaiswaan lainnya
Fisika Dasar,FID113,2 sks,general,2.0,Tidak Ada,"Mahasiswa mampu memahami konsep vektor dan konsep dasar dalam mekanika, fluida, elastisitas dan osilasi, gelombang suara, dan termodinamika.","Pengantar Fisika, pengukuran dan sistem satuan, vektor, kinematika objek titik, dinamika objek titik, dinamika sistem objek titik, Gerakan rotasi (momentum sudut, rotasi benda tegar), fluida statis dan dinamis, elastisitas dan osilasi, gelombang suara, termodinamika (temperatur, teori kinetik gas, panas dan usaha, hukum termodinamika, efisiensi, dan siklus Carnot)."
Matematika,MAT108,3 sks,"Teknologi Sains Data, Teknik Industri",2.0,Tidak Ada,"Setelah mengikuti mata ajaran ini mahasiswa diharapkan dapat mahasiswa diharapkan dapat menggunakan konsepTidak Adakonsep sistem bilangan real, bilangan kompleks, fungsi dan limit, turunan dan aplikasinya, serta integral dan aplikasinya.","1) Konsep dasar sistem bilangan real: pengertian sistem bilangan real, bentuk desimal bilangan real, koordinat real, sifat urutan, pengertian nilai mutlak, pertidaksamaan, koordinat bidang, garis, jarak dua titik, lingkaran, parabola. 2) KonsepTidak Adakonsep fungsi dan limit: domain, range, operasi fungsi, grafik fungsi (linier, kuadratik, transcendent), limit dan kontinuitas fungsi, limit dan kontinuitas fungsi trigonimetri. 3)  Diferensial/turunan : definisi turunan, aturanaturan diferensisasi(untuk fungsi polynomial, rasional, transcendent dan trigonometri), aturan rantai dan turunan fungsi implisit. 4) Aplikasi Turunan : lajuTidak Adalaju berkaitan, interval naik/ turun, kecekungan, penggambaran grafik yang mempunyai asimtot dan puncak, nilai ekstrema dan aplikasi masalah optimasi 5) Integral: integral tentu, tak tentu. 5) Aplikasi Integral: luas di bawah kurva. "
Pengantar Teknologi Maju,TNM101,2 sks,general,2.0,Tidak Ada,"Setelah mengikuti mata kuliah ini, mahasiswa mampu menjelaskan konsep dasar, ruang lingkup, dan wawasan keilmuan dari prodi Teknologi Sains Data, Teknik Robotika dan Kecerdasan Buatan, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro.","Pengenalan ilmu dan pengetahuan di bidang Teknologi Sains Data, Teknik Industri, Teknik Robotika dan Kecerdasan Buatan, Rekayasa Nanoteknologi, dan Teknik Elektro; integrasi kelima prodi di STMM; konsep sains data dan ruang lingkup keilmuan di Teknologi Sains Data, meliputi big data, manajemen data/ cloud computing, metode analisis data, visualisasi data, dan implementasi sains data di bidang kesehatan, sosial dan komunikasi industri, serta bisnis dan finansial."
Metode Statistika,MAS104,3 sks,Teknologi Sains Data,2.0,Pengantar Statistika,Mahasiswa mampu memadukan dan menunjukkan metode statistika inferensia dan teknik pengambilan sampel sesuai dengan teori statistika dengan benar.,"Perbedaan metode statistika parametrik dan nonparametrik, uji kesesuaian distribusi, korelasi untuk data kategorik dan numerik, oneTidak Adaway dan twoTidak Adaway ANOVA, regresi linier sederhana dan berganda, teknik sampling (probability dan non probability sampling)."
Algoritma Pemrograman I,SIA109,2 sks,Teknologi Sains Data,2.0,Pengantar Pemrograman,Mampu menganalisis masalah dan mengaplikasikan konsep pemrograman dasar dalam solusi untuk permasalahan nyata sederhana menggunakan program komputer Python dengan benar.,"Mata kuliah ini memberikan pengantar prinsip prinsip pemrograman komputer prosedural. Konsep, struktur, dan metode pemrograman dasar diperkenalkan, diperagakan, dan dipraktikkan melalui pembelajaran Python 3: bahasa pemrograman komputer tingkat tinggi."
Matematika Lanjut,MAT110,3 sks,Teknologi Sains Data,3.0,Matematika,"Setelah mengikuti mata ajaran ini mahasiswa diharapkan dapat menggunakan konsepTidak Adakonsep integrasi, koordinat kutub, barisan dan deret tak hingga, persamaan diferensial, integral lipat, geometri bidang dan ruang, dan turunan di Rn.","1) Aplikasi integral: luas antar 2 kurva, volume benda putar, panjang busur, momen inersia. 2) Konsep teknik integrasi: integrasi fungsi trigonometri, integrasi numerik, dan integral tidak wajar, aturan simpson. 3) Koordinat kutub dan persamaan parametrik: fungsi dan grafiknya dalam koordinat kutub, luas dataran dan panjang busur dalam koordinat kutub, fungsi dalam bentuk parametrik, luas dan panjang busur fungsi parametrik, garis singgung. 4) Barisan dan deret tak hingga: barisan, konvergensi barisan, deret tak hingga, uji kekonvergenan dan menghitung jumlah deret tak hingga yang konvergen, pengertian deret pangkat, deret Taylor dan deret McLaurint. 5) Persamaan diferensial biasa dan parsial: pengenalan PDB dan PDP. Integral lipat: Turunan di Rn, integral lipat 2 dan 3 beserta aplikasinya 6) Geometri di Bidang dan Ruang (visual) "
Bahasa Inggris,BAE110,2 sks,general,3.0,Tidak Ada,Setelah mengikuti mata kuliah ini mahasiswa mampu menginterpretasi berbagai teks akademik dalam bahasa inggris berdasarkan metode yang telah diajarkan.,"1) Reading Comprehension: Previewing and Predicting, Scanning and Skimming, Making inferences, Looking for the topic and main ideas, Reading graphics and tables, Facts and opinions, Pattern of Organization, summarizing. 2) Speaking: Discussion, Presentation 3) Writing: Making simple sentences, compound sentences and complex, Drafting a paragraph, Writing a paragraph. 4) Grammar: Question Forms, Present Simple, Past Simple, Time phrases in the past (in, on, at, ago), modals (can, can not, have to, do not have to, should, should not), the present continuous, Comparative and superlative, Present perfect, Articles, Used to Past continuous and Passive "
Statistika Nonparametrik,MAS245,3 sks,Teknologi Sains Data,3.0,Metode Statistika,Setelah mengikuti mata kuliah ini mahasiswa dapat menjelaskan dan menerapkan berbagai analisis statistika non parametrik.,"Statistika non parametrik merupakan salah satu mata kuliah pemodelan yang menganalisis data kualitatif. Mata kuliah ini mempelajari metode analisis data dengan sampel kecil dan tidak berdistribusi normal. Pokok bahasan: Dasar statistika nonTidak Adaparametrik, pengujian hipotesis sampel tunggal, pengujian dua sampel independen, pengujian dua sampel dependen, pengujian k sampel dependen dan independen, tabel kontingensi, uji keselarasan dan korelasi peringkat."
Probabilitas,MAS106,4 sks,Teknologi Sains Data,3.0,Pengantar Statistika,Setelah mengikuti mata kuliah ini mahasiswa diharapkan dapat menguasai konsep teori peluang sesuai definisi dengan benar.,"Teknik Menghitung: Asas Perkalian, permutasi, kombinasi. Probabilitas, Dua atau lebih Kejadian: Saling Bebas, Formula Bayes. Probabilitas bersyarat. Variabel random, pdf, CDF, Ekspektasi Matematik, MGF. Dua Variabel Random: Distribusi bersama, distribusi maginal, dua variabel saling bebas, distribusi bersyarat, Ekspektasi bersyarat, Covariance, Korelasi. Distribusi Khusus tipe diskrit dan kontinu. Penggunaan MGF dan CDF untuk menentukan distribusi variabel acak baru."
