Nama Mata Kuliah,Kode Mata Kuliah,Beban Studi,Prodi,Semester,Prasyarat,Capaian Pembelajaran Mata Kuliah,Deskripsi Mata Kuliah/Silabus
Teknologi Big Data,SID307,3 sks,Teknologi Sains Data,4.0,Tidak Ada,"Pada akhir Mata kuliah ini mahasiswa diharapkan dapat: 1) Mahasiswa mampu memahami desain dan arsitektur beberapa sistem penyimpanan data berskala besar (Hadoop, graph based database, dll). 2) Mahasiswa memahami dan mampu menerapkan beberapa metode penggalian data untuk data berskala besar. 3) Mahasiswa mampu menerapkan kaidahTidak Adakaidah big data di dalam kasus nyata (sistem rekomendasi konten, iklan, dan jejaring sosial). 4) Mahasiswa memahami dan mampu menerapkan optimasi dalam pengolahan data berskala besar.","Pada mata kuliah ini mahasiswa akan mempelajari tren dan aspekTidak Adaaspek yang ada di dalam big data (data dengan skala besar). Mata kuliah ini menekankan pada pengenalan serta implementasi sistem penyimpanan data dengan skala (volume), jenis (variety), dan kecepatan penyimpanan data (velocity) yang besar. Selain itu, akan dibahas juga mengenai beberapa teknik pemrosesan data dan penggalian data untuk big data."
Multivariat,MAS328,3 sks (2 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,5.0,Probabilitas dan Metode Matematika,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu menggunakan metode multivariat dan menganalisis data multivariat sesuai bidang ilmu terkait dengan bantuan perangkat lunak,"Distribusi multivariat dan sifatTidak Adasifatnya, Uji hipotesis: vektor mean, MANOVA satu Arah dan dua arah, Analisis Komponen Utama , Analisis Faktor, Analisis cluster, Analisis Diskriminan, Korelasi kanonik/ biplot, Analisis Korespondensi."
Data Mining II,SID306,4 sks (3 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,5.0,Eksplorasi dan Visualisasi Data; Algoritma Pemrograman I,"Pada akhir Mata kuliah ini mahasiswa diharapkan dapat membersihkan data, menganalisis, dan memvisualisasikan data untuk data tidak terstruktur.","pengetahuan dan keterampilan tentang fase lengkap dari penambangan data, mulai dari pembersihan data, analisis sampai dengan visualisasi. Mahasiswa diajarkan dasarTidak Adadasar analisis data melalui contoh nyata, mulai dari belajar cara mengambil data mentah, mengekstrak informasi yang bermakna, menggunakan alat statistik, dan membuat visualisasi untuk data tidak terstruktur."
Basis Data,SID201,4 sks (3 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,5.0,Pengantar Basis Data,Pada akhir Mata kuliah ini mahasiswa diharapkan dapat: 1) Memahami pemodelan dan normalisasi database relasional SQL 2) Menggunakan database SQL yang telah dirancang sebagai penyimpanan data sistem informasi sederhana 3) Mengetahui tipe database nonTidak Adarelational NoSQL dan aplikasinya dalam bidang professional saat ini,"Mata kuliah ini memperluas prinsipTidak Adaprinsip pemodelan basis data SQL yang ditetapkan pada mata kuliah pengantar sebelumnya, serta menggunakan database yang telah dirancang dalam sistem informasi sederhana CRUD (Create Read Update Delete). Konsep basis data non relasional serta kekuatan dan kelemahannya dibanding basis data relasional SQL juga akan dibahas."
Proses Stokastik,MAS223,3 sks,Teknologi Sains Data,5.0,Probabilitas,Mahasiswa mampu memformulasikan masalah ke dalam pemodelan statistika.,"Definisi proses stokastik, rantai Markov, proses Markov, Sistem Jaringan dan pengendalian, optimasi perancangan dan pengendalian proses stokastik"
Regresi Nonparametrik,MAS329,3 sks,Teknologi Sains Data,5.0,Regresi Terapan,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu memodelkan data riil dengan pendekatan regresi nonTidak Adaparametrik dengan bantuan perangkat lunak.,"Pengantar regresi nonparametrik, estimator Kernel, estimator Lokal Linier, estimator Polinomial Lokal, Estimator LSTidak AdaSpline, estimator PTidak AdaSpline dan estimator Deret Fourier"
Matriks dan Peubah Kompleks,MAA210,3 sks,Teknologi Sains Data,5.0,Tidak Ada,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan dapat menjelaskan operasi dasar pada bilangan kompleks, diagonalisasi matriks simestris dan dekomposisi nilai singular dari bentuk kuadratik.","1) Bilangan Kompleks: Operasi pada bilangan kompleks, Teorema de Moivre, akar keTidak Adan bilangan kompleks. 2) Vektor: Vektor di R2 dan R3, perkalian vektor dan perkalian skalar. 3) Matriks: penjumlahan dan perkalian matriks, penyelesaian sistem persamaan linear menggunakan operasi baris, nilai eigen dan vektor eigen, pemetaan linear, diagonalisasi matriks simetris, dekomposisi nilai singular dari bentuk kuadratik."
Analisis Ketahanan Hidup,MAS330,3 sks,Teknologi Sains Data,5.0,Statistika Matematika,"Setelah mengikuti mata kuliah ini, diharapkan mahasiswa dapat menganalisis data uji hidup sesuai dengan metode analisis data uji hidup secara tepat.","Konsep dasar analisis data uji hidup, fungsi survivor dan fungsi hazard, estimator nonparametrik fungsi survivor dan fungsi hazard, estimator fungsi survivor dan fungsi hazard distribusi eksponensial, estimator fungsi survivor dan fungsi hazard distribusi eksponensial 2 parameter, estimator fungsi survivor dan fungsi hazard distribusi weibull dan nilai ekstrim, regresi eksponensial pada data uji hidup, regresi weibull pada data uji hidup."
Natural Language Processing,SIC304,3 sks,"Teknologi Sains Data, Teknik Robotika dan Kecerdasan Buatan",5.0,Tidak Ada,"Pada akhir Mata kuliah ini mahasiswa diharapkan dapat: 1) Menjelaskan dan memformalkan bagaimana masalah bahasa dapat diselesaikan secara komputasi. 2) Memahami dan menerapkan teknik pemodelan bahasa, penandaan ucapan, dan penguraian sintaksis. 3) Memahami dan menerapkan teknik untuk semantik komputasi dan pemrosesan wacana. 4) Memahami, mengimplementasikan, dan menggunakan algoritma seperti decoding Viterbi, dan klasifikasi dasar yang diawasi. 5) Memahami bagaimana teknik Natural Language Processing (NLP) dapat digunakan untuk merancang dan mengimplementasikan aplikasi seperti peringkasan teks, analisis sentimen, dan prediksi kualitas penulisan.","Natural Language Processing (NLP) bertujuan untuk membuat program komputer yang melakukan tugasTidak Adatugas bahasa seperti kemampuan yang dimiliki manusia, yaitu memahami makna teks dan percakapan, meringkas seperangkat dokumen untuk fokus pada informasi utama, menjawab pertanyaan berdasarkan teks, dan ketika dwibahasa, menerjemahkan teks dari satu bahasa menjadi teks yang fasih dalam bahasa lain. Mata kuliah ini memberikan dasar yang kuat untuk memahami masalah mendasar dalam NLP dan juga membekali mahasiswa dengan keterampilan praktis untuk membangun sistem NLP skala kecil. Mahasiswa diperkenalkan dengan tiga ide inti NLP: a) mendapatkan pemahaman tentang elemen inti bahasa: struktur dan tata bahasa kata, kalimat dan dokumen lengkap, dan bagaimana masalah NLP terkait dengan mendefinisikan dan mempelajari struktur seperti itu b) mengidentifikasi kompleksitas komputasi yang secara alami ada dalam tugas bahasa dan masalah unik yang mudah dipecahkan manusia, tetapi sulit untuk dilakukan computer c) memperoleh keahlian dalam mengembangkan teknik komputasi cerdas yang dapat mengatasi tantangan ini."
Integrasi Aplikasi Korporasi,SIC305,3 sks,Teknologi Sains Data,5.0,Tidak Ada,"Setelah mengikuti Mata Kuliah ini, mahasiswa mampu memahami konsep dan arsitektur pembangunan perangkat lunak yang dapat terintegrasi lintasTidak Adaplatform dan lintas sistem operasi menggunakan API, SoftwareTidak AdaasTidak AdaaTidak AdaService, dan cloud computing.","Mata kuliah ini akan memberikan pengetahuan lanjutan dan implementasi dari pemrograman berorientasi objek dalam bentuk aplikasi yang terdapat dalam sebuah organisasi. Karena aplikasi dalam organisasi akan mempunyai beragam bentuk dan terpasang di platform yang berbeda, maka fokus dari Mata kuliah ini adalah pengintegrasian aplikasi tersebut, mulai dari standardisasi kebijakan, penyeragaman struktur basis data, hingga penggunaan API yang telah disediakan oleh penyedia luar dalam aplikasi milik sendiri."
Manajemen Jaringan,SIJ303,3 sks,Teknologi Sains Data,5.0,Pengantar Basis Data,Setelah mengikuti mata kuliah ini mahasiswa mampu memahami konsep dan arsitektur jaringan komputer serta bagaimana komputer berkomunikasi dengan entitas komputer lainnya.,"Mata kuliah ini akan memberikan pengetahuan tentang jaringan komputer mulai dari lapisan paling tinggi: Internet, protocol transfer file, hingga dasar pengaturan jaringan komputer."
Bahasa Inggris II,BAE312,2 sks,Teknologi Sains Data,3.0,Tidak Ada,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu bekerjasama dan berkomunikasi dalam tim serta bertanggungjawab terhadap pekerjaan. Setelah mengikuti mata kuliah ini mahasiswa mampu menginterpretasi berbagai teks akademik dalam bahasa inggris berdasarkan metode yang telah diajarkan.,"Dalam perkuliahan ini akan membahas: Normal sentence pattern, types of sentences; simple sentence, Compound sentence, Complex sentence, subjectTidak Adaverb agreement, Capilalization; comma, semi colon, colon, Punctuation, Noun clouse ; thatclouses, WHTidak AdaWord Clauses, If/WhetherTidak AdaClauses, Adverbial Clauses; time Clause, Plase Clause, Manner, Distance and Frequency Clauses, result Clauses, purpose Clauses, Contrast Clauses, Relative Clause; relative pronoun as subject, relative pronoun as object, possessive relative clauses, Participle Phrase: Present and past Participle, Patterns of Essay Organizations; Chronological order, logical Division order, caouse and Effect Order, Comparison and Contrast order, Abstract : Word Choice, Transitional signals."
Keahlian Riset dan Pengembangan Akademik,PNJ301,3 sks,Teknologi Sains Data,3.0,Tidak Ada,"Pada akhir Mata kuliah ini mahasiswa diharapkan dapat: 1) Menghasilkan tulisan akademis yang terstruktur dengan baik, relevan dan beralasan jelas. 2) Mengkomunikasikan ide, informasi, dan argumen dengan jelas, baik secara lisan maupun tertulis, dan yang menunjukkan kemampuan untuk mengintegrasikan ideTidak Adaide siswa dengan yang lain. 3) Memberikan presentasi yang efektif yang termasuk menggunakan berbagai alat bantu visual yang sesuai. 4) Memahami teks pada berbagai topik yang mengidentifikasi poin utama dari mendengarkan atau membaca materi, dan menunjukkan kemampuan untuk menilai secara kritis kegunaan informasi. 5) Manfaatkan sepenuhnya perpustakaan akademik dan berbagai media elektronik yang sesuai untuk tujuan penelitian independen 6) Menunjukkan pengetahuan dan penggunaan yang tepat dari daftar akademik dan konvensi referensi. 7) Mengembangkan strategi manajemen waktu, gunakan pembelajaran mandiri, dan tunjukkan kemampuan untuk merefleksikan pembelajaran dan kemajuan seseorang dan untuk bekerja secara kolaboratif dengan orang lain. 8) Mengembangkan kesadaran akan berbagai strategi penelitian dan menerapkannya pada proyek penelitian skala kecil.","Mata kuliah ini dirancang untuk mendukung mahasiswa dalam disiplin ilmu akademik mereka dan untuk memperkuat kepercayaan diri mereka dalam bidang keterampilan utama, seperti penulisan akademik, penelitian dan integritas akademik, serta praktik kolaboratif dan reflektif. Mahasiswa didukung melalui penggunaan materi khusus mata pelajaran yang disesuaikan dengan tingkat pilihan mereka dengan beberapa penyelarasan penilaian antara modul mata pelajaran akademik dan modul keterampilan."
Agama Islam II,AGI401,2 sks,general,6.0,Agama Islam I,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan menginternalisasi nilai, norma, dan etika akademik, dan mewujudkan keunggulan yang berlandaskan moral agama (excellence with morality).","Strategi Pembinaan Ummat, Sains dan Teknologi menurut Islam, Nilai saintifik pada keajaiban ciptaan Allah, Matematika dan Makna “Quick Count” dalam AlTidak AdaQur’an, Riset dalam Perspektif Islam, Problematika Ummat, Tazkiyatun Nafsi (Manajemen Qolbu), Menjadi Ulul Albab (Tadzakkur wa Tafakkur), Ilmuwan Muslim dalam lintasan Sejarah Islam, Problematika Dakwah Kampus dan Solusinya, Kepribadian Muslim dan makna Excellence with Morality, Membangun Persatuan Ummat via Sholat, Islam sebagai tatanan hidup yang holistik."
Agama Katolik II,AGK401,2 sks,general,6.0,Agama Katolik I,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan menginternalisasi nilai, norma, dan etika akademik, dan mewujudkan keunggulan yang berlandaskan moral agama (excellence with morality).","Mampu mengenal agamaTidak Adaagama yang ada di bumi ini dan mengenal masalahTidak Adamasalah yang muncul dalam kehidupan aktual dewasa ini, Mampu menganalisis fenomena perkembangan agama, Mampu berinteraksi dengan lingkungan sekitar, Mempresentasikan hasil pembelajaran berdasarkan kaidahTidak Adakaidah ilmiah agama sesuai norma agama dalam perkuliahan."
Agama Protestan II,AGP401,2 sks,general,6.0,Agama Protestan I,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan menginternalisasi nilai, norma, dan etika akademik, dan mewujudkan keunggulan yang berlandaskan moral agama (excellence with morality).","Agama dan fungsinya dalam kehidupan manusia, Allah dalam kepercayaan Kristen, Manusia menurut Ajaran Kristen, Etika dan Pembentukan Karakter Kristiani, Hubungan Iman Kristiani dengan Ilmu Pengetahuan, Teknologi dan Seni, Menciptakan Kerukunan antarumat Beragama, serta Penjaga Ciptaan Allah"
Agama Hindu II,AGH401,2 sks,general,6.0,Agama Hindu I,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan menginternalisasi nilai, norma, dan etika akademik, dan mewujudkan keunggulan yang berlandaskan moral agama (excellence with morality).","Mengimani Hyang Widhi melalui sraddha dan bhakti serta melalui prinsip dasar di dalam Brahma Vidya, melalui usaha dan sarana memujanya berdasarkan yajna setiap hari dan hariTidak Adahari tertentu. Mahasiswa menghayati Konsep manusia Hindu, Hukum, Etika, Tri Kerukunan Hidup Beragama, Iptek dan seni dalam perspektif Hindu, Konsep Masyarakat Hindu berdasarkan sastraTidak Adasastra agama Hindu, Politik dalam Perspektif Hindu."
Agama Buddha II,AGB401,2 sks,general,6.0,Agama Buddha I,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan menginternalisasi nilai, norma, dan etika akademik, dan mewujudkan keunggulan yang berlandaskan moral agama (excellence with morality).","Konsep dasar agama Buddha, meliputi substansi kajian Ketuhanan, manusia, hukum, budaya, dan politik dalam rangka mengantarkan mahasiswa mengembangkan kepribadiannya sebagai umat Buddha."
Agama Konghucu II,AGC401,2 sks,general,6.0,Agama Konghucu I,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan menginternalisasi nilai, norma, dan etika akademik, dan mewujudkan keunggulan yang berlandaskan moral agama (excellence with morality).","Materi ini mencakup urgensi agama dalam kehidupan sehariTidak Adahari dengan sikap yang benar, pemahaman terhadap sumber hukum Konghucu, sejarah Konghucu, jalan suci yang dibawakan Ajaran Besar, meneliti hakekat tiap perkara, peran Konghucu dalam pengembangan sains dan teknologi"
Praktek Kerja Lapangan,KLJ301,2 sks,general,6.0,Minimal sudah menempuh 80 sks,"Setelah mengikuti mata kuliah ini, mahasiswa diharapkan mampu bekerja sama dan memiliki kepekaan sosial serta kepedulian terhadap masyarakat dan lingkungan; dan bekerjasama dan berkomunikasi dalam tim serta bertanggung jawab terhadap pekerjaan.",Topik mata kuliah yang telah ditempuh.
Metode Penelitian,PNJ302,2 sks,general,6.0,Tidak Ada,Setelah mengikuti mata kuliah ini mahasiswa diharapkan: 1) mampu merumuskan masalah dan menggunakan komputer sebagai alat pengolah data. 2) mampu mengambil keputusan yang tepat berdasarkan analisis data. 3) mempunyai etika profesi. 4) mampu melakukan penelitian dengan metode ilmiah.,"Pengantar Metode Penelitian Ilmiah, mengidentifikasi minat bidang penelitian yang luas, penyusunan laporan, presentasi laporan, pengambilan keputusan, implementasi pembuatan proposal penelitian"
Sains Data Consulting,MAS331,3 sks,Teknologi Sains Data,6.0,Data Mining I dan Data Mining II,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu menentukan cara/ prosedur menjadi konsultan sains data yang baik dan kompeten.,"Introduction to Statistical Consulting, The Ideal Statistical Consultant, Non Verval Communication, Meeting, Asking Good to Question, Negotiating, Communication about Statistics, Dealing with Difficult Situation, Persentasi beberapa makalah, praktik simulasi konsultan dan klien."
Pemrograman Lanjut,SIA303,3 sks,Teknologi Sains Data,6.0,Algoritma Pemrograman II,"Pada akhir Mata kuliah ini, mahasiswa diharapkan dapat: 1) Menunjukkan pemahaman tentang konstruksi dan teknik pemrograman yang diperkenalkan pada mata kuliah ini. 2) Menggunakan konstruksi dan teknik ini dalam desain dan implementasi program. 3) Secara kritis merenungkan desain program.","Mata kuliah ini memperkenalkan mahasiswa untuk konstruksi dan teknik pemrograman yang lebih maju dan membangun pengetahuan mereka sejak dua tahun pertama. Ini akan mencakup tinjauan Java, Threads dan sinkronisasi, soket I / O File, klien / server, JSON dan layanan web."
Pemodelan Runtun Waktu,MAS332,3 sks,Teknologi Sains Data,6.0,Tidak Ada,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu menguasai beberapa metodologi (metode dan pemodelan) sains data untuk digunakan dalam meyelesaikan masalah di beberapa bidang antara bidang kesehatan dan bidang industri, baik dengan atau tanpa software","Pengantar konsep Analisis Runtun Waktu, modelmodel stasioner, model nonTidak Adastasioner, estimasi parameter, uji diagnostik model, peramalan, model musiman, model campuran."
Pemrograman Linier,MAA311,3 sks,Teknologi Sains Data,6.0,Riset Operasi; Metode Matematika,Setelah mengikuti mata kuliah ini mahasiswa diharapkan dapat melakukan analisis sensitivitas pasca optimalitas pada persoalan yang dapat dibawa ke bentuk Program Linear serta menggunakan algoritma pemrograman linier untuk mendapatkan solusi optimal.,"Pengantar Program Linear, Metode Grafik, Metode Simpleks, Metode simpleks yang direvisi, teori dualitas, analisis sensitivitas, pemrograman linier parametrik dan algoritma pemrograman linier lain"
Basis Data Lanjut,SID308,3 sks (2 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,6.0,Basis Data,Pada akhir mata kuliah ini mahasiswa diharapkan dapat: 1) Memahami permasalahan dan batasan basis data yang digunakan di era digital 2) Menggunakan database non relasional untuk menyelesaikan permasalahan 3) Memahami konsep MapReduce dalam penyimpanan Big Data,"Mata kuliah ini memperdalam prinsipTidak Adaprinsip penyimpanan data yang terTidak Adagenerate secara cepat dan dalam volume yang besar serta berbagai bentuk, pengenalan konsep MapReduce yang ditetapkan pada mata kuliah pengantar sebelumnya."
Machine Learning,SIC306,3 sks,"Teknologi Sains Data, Teknik Robotika dan Kecerdasan Buatan",6.0,Pengantar Kecerdasan Buatan dan Metode Statistika,Pada akhir Mata kuliah ini mahasiswa diharapkan dapat menerapkan algoritma machine learning secara tepat sesuai dengan kasus yang dihadapi.,"Mata kuliah ini memberikan gambaran tentang banyak konsep, teknik, dan algoritma dalam pembelajaran mesin, dimulai dengan topik seperti klasifikasi dan regresi linier dan berakhir dengan topik yang lebih baru seperti meningkatkan, mesin vektor dukungan, model Markov tersembunyi, dan jaringan Bayesian. Mata kuliah ini akan memberikan mahasiswa ideTidak Adaide dasar dan intuisi di balik metode pembelajaran mesin modern serta pemahaman yang lebih formal tentang bagaimana, mengapa, dan kapan mereka bekerja. Tema yang mendasari dalam mata kuliah adalah inferensi statistik karena memberikan dasar bagi sebagian besar metode yang dibahas."
Ekonometrika,EKK301,3 sks,Teknologi Sains Data,6.0,Metode Statistika,Mahasiswa mampu menerapkan Metode Statistika dalam bidang finansial dan bisnis.,"Mempelajari metodologi ekonometrika yang meliputi spesifikasi model, estimasi, evaluasi hasil estimasi dan peramalan. Metode ekonometrika yang dipelajari antara lain persamaan tunggal, SUR, dan persamaan simultan, baik yang statis maupun dinamis."
Analisis Keputusan Bisnis,MAS333,3 sks,Teknologi Sains Data,6.0,Pengantar Statistika,Mahasiswa diharapkan mampu mengambil keputusan berdasarkan data dan menerapkan Metode Statistika dalam bidang bisnis,"Menerapkan probabilitas dan ekspektasi dalam melakukan pengambilan keputusan, yaitu meliputi siklus analisis keputusan, diagram dan model analisis keputusan, serta Analytic Hierarchy Process (AHP)."
Official Statictics,MAS334,3 sks,Teknologi Sains Data,6.0,Metode Statistika,Mahasiswa mampu menganalisis data official dan menerapkan Metode Statistika yang sesuai dalam mengambil keputusan di bidang sosial.,"Menggunakan dan menganalisis data hasil publikasi atau official data dari hasil survei pemerintah (BPS); Mempelajari cara menghitung data publikasi misalnya ukuran demografi, Indeks Harga Konsumen (IHK), Inflasi, Angka Kemiskinan, Indeks Pembangunan Manusia, Angka Ketenagakerjaan."
Analisis Data Kategorik,MAS335,3 sks,Teknologi Sains Data,6.0,Probabilitas,Mahasiswa mampu menganalisis data yang bersifat kategorik baik dari data kualitatif maupun data kuantitatif yang dikategorikan.,"Analisis Data Kategorik merupakan salah satu mata kuliah pemodelan statistika yang meliputi tabel kontingensi, pengukuran asosiasi, model log linier, regresi logistik biner, regresi logistik multinomial, regresi logistik ordinal serta aplikasinya."
Magang,KKJ301,18 sks,general,6.0,Minimal sudah mengambil minimal 90 sks,"Setelah mengikuti mata kuliah, mahasiswa mampu menerapakan konsep dan praktik sains data untuk menyelesaikan masalah sesuai dengan bidang pekerjaan","Topik permasalahan, analisis, penyajian data"
KKNTidak AdaBBM,KNJ401,3 sks,general,7.0,Sudah menempuh minimal 80 sks,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu bekerja sama dan memiliki kepekaan sosial serta kepedulian terhadap masyarakat dan lingkungan; dan mampu bekerjasama dan berkomunikasi dalam tim serta bertanggung jawab terhadap pekerjaan.,"Sosiologi desa, organisasi, manajemen kerja kelompok."
Proposal Skripsi,PNJ495,2 sks,general,7.0,Sudah menempuh minimal 108 sks,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu menyusun rancangan penelitian skripsi.,"Pendahuluan, Tinjauan Pustaka, Metode penelitian."
Kewirausahaan,MNW401,2 sks,"Teknologi Sains Data, Teknik Robotika dan Kecerdasan Buatan",7.0,Tidak Ada,"Setelah mengikuti mata kuliah ini, mahasiswa diharapkan memiliki sikap kemandirian, keuletan, dan kewirausahaan serta menguasai konsep teoritis kewirausahaan dan komunikasi.","Mata kuliah yang dihas antara lain: Menjadi Wirausaha, Berpikir Perubahan dan Kreatif, Berorientasi pada Tindakan, Pengambilan Resiko dan Kepemimpinan, Etika Bisnis, Faktor “X”, Mencari Gagasan Usaha, Pemasaran, Manajemen Keuangan dan Pembiayaan Usaha, Memulai Sebuah Usaha Baru, Perencanaan Bisnis dan Contoh Rencana Bisnis, Konsep Dasar Teknologi Keuangan."
Kapita Selekta Sains Data,KSJ401,2 sks,Teknologi Sains Data,7.0,Tidak Ada,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu merancang pra propsal dengan topik kekinian.,"Review jurnal/ artikel ilmiah, peta konsep, tinjauan pustaka, metode penelitian."
Pemodelan Data Eksperimen,MAS422,3 sks,Teknologi Sains Data,7.0,Metode Statistika,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu merancang tahapan analisis data dengan benar.,"Beberapa prinsip percobaan ilmiah: perlakuan, randomisasi, replikasi dan kelompok; Klasifikasi rancangan percobaan: Rancangan Acak Lengkap (RAL), Rancangan Acak Kelompok (RAK), Rancangan Bujur Sangkar Latin (RBSL), Rancangan Graeco Latin (RGL), Rancangan Faktorial (RF), Rancangan Tersarang (Nested)."
Pemrograman Non Linear,MAA423,3 sks,Teknologi Sains Data,7.0,Pemrograman Linear,"Pada akhir Mata Kuliah, mahasiswa diharapkan dapat: 1) menerapkan algoritma atau metode numerik yang sesuai untuk memecahkan masalah tertentu; 2) membahas keuntungan dan keterbatasan relatif dari berbagai algoritma dan metode numerik; 3) menggunakan implementasi yang diberikan dari algoritma ini dan mengamati dan menganalisis hasilnya; 4) memahami derivasi dan penggunaan kondisi yang diperlukan KarushTidak AdaKuhnTidak AdaTucker untuk optimalitas.","Mata kuliah ini memberikan pengantar teori dan aplikasi pemrograman nonTidak Adalinear. Ini mengajarkan prinsipTidak Adaprinsip pemodelan yang baik, dari perumusan masalah praktis hingga solusi komputer, dan bagaimana merancang berbagai algoritma dan metode numerik. Ini memperkenalkan mahasiswa dengan masalah umum mengenai algoritma komputasi, dan mempertimbangkan bidang aplikasi seperti keuangan matematika. Ini akan termasuk satu pada NewtonTidak AdaRaphson dan pencarian bagian emas, dan satu pada pencarian Gradient, metode Newton dan metode QuasiTidak AdaNewton."
Skripsi,PNJ499,4 sks,general,8.0,Sudah atau pernah mengambil Proposal Skripsi serta sudah mengambil minimal 120 sks,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu menyusun naskah ilmiah dari proyek penelitian yang dipilih.,"Pendahuluan, Tinjauan Pustaka, Metode penelitian, hasil dan pembahasan, kesimpulan, dan daftar pustaka."
Praktikum Biologi Dasar 1,Tidak Ada,1 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Kimia Dasar 1,Tidak Ada,1 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Fisika Dasar 1,Tidak Ada,1 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kalkulus 1,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pengantar Nanoteknologi 1,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Dasar Pengolahan Data,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Fisika Dasar 2,Tidak Ada,1 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kimia Dasar 2,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Fisika Dasar 2,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Nanoteknologi 1,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Kimia Dasar 2,Tidak Ada,1 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Bahasa Inggris,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pengantar Nanoteknologi 2,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kalkulus 2,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Teknologi Hijau,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Biologi Sel dan Molekuler,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pengantar Komputasi,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Fisika Nanoteknologi,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanokomposit dan Polimer,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Bisnis dan Komersialisasi Nanoteknologi,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Nanoteknologi 2,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Spektroskopi nanoteknologi,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kinetika dan Termodinamika,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanobioteknologi Mikroba,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanoteknologi Karbon,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
